ID,Count
18288,534.0626483974991
18289,534.1253351705108
18290,534.1880361555151
18291,534.2507395566682
18292,534.313447286831
18293,534.3761593460023
18294,534.4388757341827
18295,534.5015964513723
18296,534.5643214975709
18297,534.6270508727785
18298,534.6897845769952
18299,534.7525226102209
18300,534.8152649724558
18301,534.8780116636997
18302,534.9407626839527
18303,535.0035180332147
18304,535.0662777114858
18305,535.129041718766
18306,535.1918100550552
18307,535.2545827203535
18308,535.3173597146608
18309,535.3801410379772
18310,535.4429266903027
18311,535.5057166716372
18312,535.5685109819808
18313,535.6313096213335
18314,535.6941125896952
18315,535.756919887066
18316,535.8197315134458
18317,535.8825474688348
18318,535.9453677532327
18319,536.0081923666398
18320,536.0710213090559
18321,536.133854580481
18322,536.1966921809153
18323,536.2595341103586
18324,536.322380368811
18325,536.3852309562724
18326,536.4480858727429
18327,536.5109451182225
18328,536.573808692711
18329,536.6366765962088
18330,536.6995488287155
18331,536.7624253902313
18332,536.8253062807562
18333,536.8881915002901
18334,536.9510810488331
18335,537.0139749263851
18336,537.0768731329463
18337,537.1397756685164
18338,537.2026825330956
18339,537.265593726684
18340,537.3285092492813
18341,537.3914291008878
18342,537.4543532815032
18343,537.5172817911279
18344,537.5802146297615
18345,537.6431517974041
18346,537.7060932940559
18347,537.7690391197167
18348,537.8319892743866
18349,537.8949437580656
18350,537.9579025707535
18351,538.0208657124506
18352,538.0838331831567
18353,538.1468049828719
18354,538.2097811115962
18355,538.2727615693295
18356,538.3357463560719
18357,538.3987354718233
18358,538.4617289165839
18359,538.5247266903534
18360,538.5877287931321
18361,538.6507352249198
18362,538.7137459857165
18363,538.7767610755224
18364,538.8397804943372
18365,538.9028042421612
18366,538.9658323189942
18367,539.0288647248364
18368,539.0919014596875
18369,539.1549425235477
18370,539.217987916417
18371,539.2810376382953
18372,539.3440916891827
18373,539.4071500690792
18374,539.4702127779847
18375,539.5332798158993
18376,539.5963511828229
18377,539.6594268787557
18378,539.7225069036974
18379,539.7855912576483
18380,539.8486799406082
18381,539.9117729525772
18382,539.9748702935552
18383,540.0379719635423
18384,540.1010779625385
18385,540.1641882905437
18386,540.227302947558
18387,540.2904219335813
18388,540.3535452486137
18389,540.4166728926552
18390,540.4798048657058
18391,540.5429411677654
18392,540.6060817988341
18393,540.6692267589118
18394,540.7323760479986
18395,540.7955296660945
18396,540.8586876131994
18397,540.9218498893134
18398,540.9850164944364
18399,541.0481874285686
18400,541.1113626917097
18401,541.17454228386
18402,541.2377262050193
18403,541.3009144551877
18404,541.3641070343651
18405,541.4273039425516
18406,541.4905051797472
18407,541.5537107459518
18408,541.6169206411655
18409,541.6801348653883
18410,541.74335341862
18411,541.8065763008609
18412,541.8698035121108
18413,541.9330350523699
18414,541.9962709216379
18415,542.0595111199151
18416,542.1227556472013
18417,542.1860045034965
18418,542.2492576888009
18419,542.3125152031142
18420,542.3757770464367
18421,542.4390432187682
18422,542.5023137201088
18423,542.5655885504584
18424,542.6288677098171
18425,542.6921511981849
18426,542.7554390155617
18427,542.8187311619477
18428,542.8820276373426
18429,542.9453284417466
18430,543.0086335751597
18431,543.0719430375818
18432,543.1352568290131
18433,543.1985749494534
18434,543.2618973989026
18435,543.3252241773611
18436,543.3885552848285
18437,543.4518907213051
18438,543.5152304867906
18439,543.5785745812854
18440,543.6419230047891
18441,543.7052757573018
18442,543.7686328388237
18443,543.8319942493546
18444,543.8953599888946
18445,543.9587300574436
18446,544.0221044550017
18447,544.0854831815689
18448,544.1488662371451
18449,544.2122536217304
18450,544.2756453353247
18451,544.3390413779282
18452,544.4024417495407
18453,544.4658464501622
18454,544.5292554797928
18455,544.5926688384325
18456,544.6560865260813
18457,544.719508542739
18458,544.7829348884059
18459,544.8463655630818
18460,544.9098005667668
18461,544.9732398994609
18462,545.036683561164
18463,545.1001315518761
18464,545.1635838715973
18465,545.2270405203276
18466,545.290501498067
18467,545.3539668048154
18468,545.4174364405729
18469,545.4809104053395
18470,545.5443886991151
18471,545.6078713218998
18472,545.6713582736935
18473,545.7348495544963
18474,545.7983451643082
18475,545.8618451031291
18476,545.9253493709591
18477,545.9888579677981
18478,546.0523708936463
18479,546.1158881485035
18480,546.1794097323698
18481,546.2429356452451
18482,546.3064658871294
18483,546.3700004580229
18484,546.4335393579254
18485,546.497082586837
18486,546.5606301447576
18487,546.6241820316873
18488,546.687738247626
18489,546.7512987925738
18490,546.8148636665308
18491,546.8784328694967
18492,546.9420064014718
18493,547.0055842624558
18494,547.0691664524489
18495,547.1327529714512
18496,547.1963438194624
18497,547.2599389964828
18498,547.3235385025122
18499,547.3871423375506
18500,547.4507505015981
18501,547.5143629946547
18502,547.5779798167204
18503,547.6416009677951
18504,547.7052264478789
18505,547.7688562569717
18506,547.8324903950736
18507,547.8961288621846
18508,547.9597716583046
18509,548.0234187834337
18510,548.0870702375719
18511,548.150726020719
18512,548.2143861328753
18513,548.2780505740407
18514,548.3417193442151
18515,548.4053924433986
18516,548.4690698715912
18517,548.5327516287928
